,Unnamed: 0,budget,id,release_date,revenue,runtime,title,genre,profit,made_money,cast_0,cast_1,cast_2,cast_3,cast_4,director,writer,releases,cast_rev,cast_prof,cast_films,cast_prof_films,dir_rev,dir_prof,dir_films,dir_prof_films,writ_rev,writ_prof,writ_films,writ_prof_films,compet_cast_rev,compet_cast_prof,compet_cast_films,compet_cast_prof_films,compet_dir_rev,compet_dir_prof,compet_dir_films,compet_dir_prof_films,compet_writ_rev,compet_writ_prof,compet_writ_films,compet_writ_prof_films,adj_budget,cast_dir_avg_rev,month,year,decade,season,fall,spring,summer,winter,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,None,Romance,Science Fiction,Thriller,War,Western,compet_budget,compet_cast_dir_avg_rev,compet_adj_budget
0,0,4000000.0,5,1995-12-09,4300000.0,98.0,Four Rooms,Crime,300000.0,1,Tim Roth,Antonio Banderas,Jennifer Beals,Madonna,Marisa Tomei,Allison Anders,Allison Anders,30,52386492.25,35736492.25,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101749786.69122334,75626094.21675645,15.166666666666664,9.333333333333334,40462118.472222224,26476007.36111111,1.8333333333333333,1.0,17444689.150000002,8161355.816666666,1.3333333333333333,0.5,22193246.125,26193246.125,12,1995,1990,winter,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,71105952.58172278,36105952.58172278
1,1,11000000.0,11,1977-05-25,775398007.0,121.0,Star Wars,Adventure,764398007.0,1,Mark Hamill,Harrison Ford,Carrie Fisher,Peter Mayhew,Anthony Daniels,George Lucas,George Lucas,67,4420000.0,2820000.0,1.0,1.0,71218500.0,70441500.0,2.0,2.0,71218500.0,70441500.0,2.0,2.0,18184019.375,14196519.375,5.0,4.0,0.0,0.0,0.0,0.0,15473333.0,-4526667.0,1.0,0.0,26819250.0,37819250.0,5,1977,1970,summer,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300000.0,9092009.6875,4792009.6875
2,2,94000000.0,12,2003-05-30,940335536.0,100.0,Finding Nemo,Animation,846335536.0,1,Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett,Andrew Stanton,Andrew Stanton,62,69915279.17307693,43896048.40384615,15.0,9.0,0.0,0.0,0.0,0.0,474480661.3333333,366147328.0,3.0,3.0,72575308.90344377,37616625.31355589,13.6,9.8,35387793.82666667,22661127.16,1.4,1.2,34690139.05,25801639.05,0.7,0.7,-59042360.41346154,34957639.586538464,5,2003,2000,summer,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35166189.8,53981551.36505522,18815361.56505522
3,3,55000000.0,13,1994-07-06,677945399.0,142.0,Forrest Gump,Comedy,622945399.0,1,Tom Hanks,Robin Wright,Gary Sinise,Mykelti Williamson,Sally Field,Robert Zemeckis,Eric Roth,39,50778678.75,37076595.41666666,14.0,12.0,192273625.0,155106958.33333334,6.0,6.0,0.0,0.0,0.0,0.0,78070736.13501875,60592118.74447279,13.142857142857142,10.857142857142858,44212135.96428572,32179993.10714286,1.1428571428571428,1.1428571428571428,114531727.42857143,97073394.09523807,1.5714285714285714,1.5714285714285714,66526151.875,121526151.875,7,1994,1990,summer,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50714285.71428572,61141436.04965223,10427150.335366517
4,4,15000000.0,14,1999-09-15,356296601.0,122.0,American Beauty,Drama,341296601.0,1,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari,Sam Mendes,Alan Ball,54,57766899.92592593,20692825.85185185,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68815496.70689122,40229396.49176377,11.666666666666664,8.166666666666666,19884734.97222222,8995846.083333334,0.5,0.3333333333333333,77657962.3125,63345462.3125,0.6666666666666666,0.5833333333333334,13883449.962962965,28883449.96296297,9,1999,1990,fall,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31050000.0,44350115.839556724,13300115.839556724
5,5,12800000.0,16,2000-05-17,40031879.0,141.0,Dancer in the Dark,Drama,27231879.0,1,Björk,Catherine Deneuve,David Morse,Peter Stormare,Joel Grey,Lars von Trier,Lars von Trier,9,103447479.58333331,80072479.58333334,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68035622.17655009,42630477.53766121,11.75,8.5,25364929.8125,17677429.8125,0.5,0.5,6546210.78125,3318085.78125,0.625,0.375,38923739.79166666,51723739.79166666,5,2000,2000,summer,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41437500.0,46700275.994525045,5262775.994525045
6,6,90000000.0,18,1997-05-07,263920180.0,126.0,The Fifth Element,Adventure,173920180.0,1,Bruce Willis,Gary Oldman,Ian Holm,Milla Jovovich,Chris Tucker,Luc Besson,Robert Mark Kamen,56,42052886.770833336,24846134.645833336,20.0,10.0,0.0,0.0,0.0,0.0,58894706.0,44894706.0,3.0,3.0,70615332.33472222,43549186.19274692,7.5,5.166666666666667,98751653.26666668,90251653.26666668,1.0,1.0,20596855.666666668,16949522.333333332,0.3333333333333333,0.16666666666666666,-68973556.61458333,21026443.385416668,5,1997,1990,summer,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38916666.666666664,84683492.80069445,45766826.13402779
7,7,140000000.0,22,2003-07-09,655011224.0,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,515011224.0,1,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Gore Verbinski,Ted Elliott,61,67754031.70555556,47313163.06666666,18.0,10.0,185883161.0,142883161.0,2.0,2.0,170043189.33333334,81709856.0,3.0,2.0,87605281.12741497,50784903.3836508,14.714285714285715,10.857142857142858,139677257.1714286,91805828.6,2.0,1.8571428571428568,69927245.92857143,49415341.16666667,1.0,0.8571428571428571,-13181403.64722222,126818596.35277778,7,2003,2000,summer,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86835714.28571428,113641269.14942178,26805554.863707498
8,8,30000000.0,24,2003-10-10,180949045.0,111.0,Kill Bill: Vol. 1,Action,150949045.0,1,Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah,David Carradine,Quentin Tarantino,Quentin Tarantino,63,71028412.9,35126746.23333333,20.0,9.0,126800962.0,116800962.0,2.0,2.0,88627825.0,77794491.66666667,3.0,2.0,97148979.8901212,60799529.30810045,21.0,14.444444444444445,21192142.55555556,5359559.222222222,2.4444444444444446,2.1111111111111107,10519947.444444444,6131058.555555556,0.3333333333333333,0.3333333333333333,68914687.45,98914687.45,10,2003,2000,fall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30822222.222222224,59170561.22283839,28348339.000616163
9,9,72000000.0,25,2005-11-04,96889998.0,123.0,Jarhead,Drama,24889998.0,1,Jamie Foxx,Jake Gyllenhaal,Scott MacDonald,Lucas Black,Peter Sarsgaard,Sam Mendes,William Broyles Jr.,46,65565236.54166667,33013153.20833333,15.0,10.0,356296601.0,341296601.0,1.0,1.0,358724836.5,282724836.5,2.0,2.0,160384281.13773912,117102095.92091256,13.571428571428573,10.285714285714286,55274609.07142858,42003869.071428575,2.4285714285714284,1.5714285714285714,111663511.96428572,97099226.25,2.142857142857143,1.2857142857142858,138930918.77083334,210930918.7708333,11,2005,2000,winter,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65142857.14285714,107829445.10458386,42686587.96172672
